duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
211160,FALSE,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-5,0.355,0.894,95.053,pop
167066,FALSE,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop"
250546,NA,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,"pop, country"
224493,FALSE,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-5,0.347,0.544,119.992,"rock, metal"
200560,FALSE,2000,65,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
253733,TRUE,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-5,0.07,0.714,121.549,"hip hop, pop, R&B"
284200,TRUE,2000,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop
258560,FALSE,2000,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0,0.467,0.861,103.035,"pop, rock"
271333,FALSE,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,"pop, R&B"
307153,FALSE,2001,77,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic
238759,FALSE,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
268863,FALSE,1999,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
306333,FALSE,2000,55,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
285960,FALSE,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop"
294200,FALSE,1999,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0,0.119,0.398,160.067,"pop, Dance/Electronic"
284000,FALSE,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0,0.0841,0.731,93.02,"hip hop, pop, R&B"
245400,FALSE,1999,64,0.761,0.716,10,-5.8,0,0.056,0.396,0,0.0771,0.649,119.41,pop
214883,FALSE,2000,73,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
285426,FALSE,1999,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
161506,TRUE,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop
216880,FALSE,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal"
211893,FALSE,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-5,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening"
240866,FALSE,2000,62,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
244466,TRUE,2000,54,0.656,0.88,11,-5.425,0,0.143,0.0421,0,0.294,0.758,85.565,hip hop
352173,FALSE,1999,54,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic"
321040,FALSE,2000,72,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal
225493,FALSE,2001,69,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic"
221160,TRUE,2000,53,0.879,0.681,10,-8.951,0,0.24,0.017,0,0.0669,0.817,99.974,"hip hop, pop, R&B"
318280,FALSE,2000,54,0.682,0.743,9,-10.644,0,0.165,0.35,1.29e-4,0.277,0.546,127.962,"pop, Dance/Electronic"
210786,FALSE,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
268866,NA,1999,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,"hip hop, pop"
220106,FALSE,2000,49,0.85,0.674,7,-7.981,0,0.0373,0.309,6.45e-4,0.0356,0.74,115.005,"pop, R&B"
225973,NA,2000,58,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
242560,FALSE,2000,52,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-6,0.0602,0.927,97.004,R&B
243533,FALSE,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,4.65e-4,0.071,0.686,84.11,pop
276266,FALSE,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-5,0.0817,0.868,99.008,"hip hop, pop, R&B"
207866,FALSE,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-5,0.0956,0.631,120.043,"pop, Dance/Electronic"
283066,TRUE,1999,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop
229826,FALSE,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-5,0.118,0.564,144.705,"pop, country"
255600,FALSE,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0,0.237,0.643,108.241,"pop, R&B"
219360,FALSE,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin"
261933,FALSE,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-5,0.326,0.766,88.009,"pop, R&B"
175893,FALSE,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0,0.265,0.934,72.016,"hip hop, pop, R&B"
222293,TRUE,1999,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,hip hop
215466,TRUE,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0,0.18,0.527,81.125,"hip hop, pop, R&B"
234960,FALSE,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,pop
201946,FALSE,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0,0.166,0.774,109.981,pop
236906,FALSE,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-5,0.0725,0.348,98,"pop, R&B"
198346,FALSE,2000,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,R&B
243666,FALSE,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581,"hip hop, pop, R&B"
265026,FALSE,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B"
280626,FALSE,2000,60,0.63,0.95,1,-4.012,1,0.0806,9.15e-4,6.51e-6,0.373,0.858,143.866,"pop, latin"
244053,FALSE,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B"
274226,TRUE,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B"
227866,NA,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-6,0.0352,0.801,98.631,hip hop
257360,FALSE,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297,"pop, R&B"
198400,FALSE,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B
243733,TRUE,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-5,0.0419,0.868,103.032,"pop, R&B"
215506,FALSE,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,"pop, country"
