...1,created_on,expenses,floor,lat,lon,place_name,place_with_parent_names,price,price_aprox_local_currency,price_aprox_usd,price_per_m2,price_usd_per_m2,property_type,rooms,state_name,surface_covered_in_m2,surface_in_m2,surface_total_in_m2,title
4264,2012-11-23,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,375000,2005497.73,375000,NA,1923.07692308,house,3,NA,NA,195,NA,NA
4273,2012-11-23,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,340000,1818317.94,340000,NA,1250,house,3,NA,NA,272,NA,NA
4367,2012-11-23,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,125000,668499.24,125000,NA,1623.37662338,apartment,NA,NA,NA,77,NA,NA
4450,2012-11-23,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,370000,1978757.76,370000,NA,1516.39344262,house,3,NA,NA,244,NA,NA
4472,2012-11-23,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,625000,3342496.23,625000,NA,2358.49056604,house,4,NA,NA,265,NA,NA
5336,2012-12-10,NA,1,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,270000,1443958.37,270000,NA,2000,house,2,NA,NA,135,NA,NA
8156,2013-01-15,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,590000,3155316.44,590000,NA,1685.71428571,house,4,NA,NA,350,NA,NA
14837,2013-02-13,NA,2,-34.451013,-58.626787,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,1200000,6417592.76,1200000,NA,2580.64516129,house,4,NA,NA,465,NA,NA
15486,2013-02-25,NA,2,-34.415172,-58.686755,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,480000,2567037.1,480000,NA,1206.03015075,house,4,NA,NA,398,NA,NA
15487,2013-02-25,NA,1,-34.415172,-58.686755,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,430000,2299637.4,430000,NA,1647.50957854,house,3,NA,NA,261,NA,NA
